tagId,tag
19,action
63,animated
64,animation
65,anime
86,atmospheric
97,"bad acting"
111,"based on a tv show"
113,"based on book"
127,"best war films"
155,boring
159,boxing
170,"buddy movie"
180,cannibalism
186,cartoon
193,cgi
230,comedy
232,"comic book"
244,"computer animation"
255,cool
261,court
268,crime
285,dark
305,"directorial debut"
309,disney
327,dreamworks
331,drugs
333,"dumb but funny"
350,england
361,espionage
374,family
377,fantasy
397,fish
406,franchise
428,geeks
456,gore
484,hackers
485,hacking
489,"hannibal lecter"
492,"harry potter"
501,"heroine in tight suit"
505,hilarious
509,history
554,interesting
623,magic
632,marvel
672,motorcycle
682,murder
687,musicians
719,"not funny"
729,"nudity (rear)"
730,"nudity (topless - brief)"
731,"nudity (topless - notable)"
732,"nudity (topless)"
762,"over the top"
784,pirates
792,pointless
807,predictable
824,psychology
844,redemption
849,remake
874,"san francisco"
887,sci-fi
901,sequel
903,"serial killer"
926,slapstick
989,superhero
1001,swashbuckler
1007,"talking animals"
1022,terrorism
1028,"time travel"
1075,"video game adaptation"
1085,violent
1096,war
1112,witch
1115,wizards
1121,"world war ii"
1126,wwii
1127,zombie
1128,zombies
