movieid,moviename,year,genres
3189,"Scream 3",2000,Thriller
3207,Trois,2000,Thriller
3216,"Pitch Black",2000,Thriller
3233,"Wonder Boys",2000,Drama
3239,"Chain of Fools",2000,Crime
3323,"Erin Brockovich",2000,Drama
3366,"Romeo Must Die",2000,Crime|Action|Thriller
3467,U-571,2000,Action|Thriller
3854,"Digimon: The Movie",2000,Adventure
3906,"Dungeons & Dragons",2000,Adventure
3961,Antitrust,2001,Thriller
4057,Hannibal,2001,Thriller
4064,"Sweet November",2001,Drama
4068,"3000 Miles to Graceland",2001,Action|Thriller
4072,"Carman: The Champion",2001,Action|Drama
4076,"15 Minutes",2001,Thriller
4132,"Enemy at the Gates",2001,Drama
4152,"Brigham City",2001,Crime|Drama
4252,Swordfish,2001,Crime|Action|Drama
4354,"Final Fantasy: The Spirits Within",2001,Adventure
4681,"Clubhouse Detectives in Big Trouble",2002,Crime
4869,"Texas Rangers",2001,Adventure
4999,"Collateral Damage",2002,Action|Thriller
5000,Rollerball,2002,Action
5044,"State Property",2002,Crime|Action|Drama
5076,"All About the Benjamins",2002,Crime|Action
5078,"Full Frontal",2002,Drama
5123,"Ice Age",2002,Adventure
5161,"Stolen Summer",2002,Drama
5171,"Panic Room",2002,Thriller
5324,Scooby-Doo,2002,Adventure
5914,"Kangaroo Jack",2003,Action
5915,"National Security",2003,Action
5959,"Final Destination 2",2003,Thriller
6057,"Shanghai Knights",2003,Action|Adventure
6058,Daredevil,2003,Crime|Action
6097,"Cradle 2 the Grave",2003,Crime|Action|Thriller
6163,Basic,2003,Thriller|Drama
6166,"What a Girl Wants",2003,Drama
6185,Levity,2003,Drama
6425,"Sinbad: Legend of the Seven Seas",2003,Adventure
7062,Torque,2004,Crime|Action
7149,"Catch That Kid",2004,Crime|Action|Adventure
7202,"Against the Ropes",2004,Drama
7212,"Starsky & Hutch",2004,Crime|Action
7232,"Agent Cody Banks 2: Destination London",2004,Action|Adventure
7235,Spartan,2004,Thriller
7247,"Dawn of the Dead",2004,Action|Thriller|Drama
7320,Godsend,2004,Thriller|Drama
7755,"Harry Potter and the Prisoner of Azkaban",2004,Adventure
8779,"Charlie and the Chocolate Factory",2005,Adventure
8860,"Assault on Precinct 13",2005,Crime|Action|Thriller|Drama
8862,"Alone in the Dark",2005,Action|Thriller
8865,Boogeyman,2005,Thriller|Drama
8901,Constantine,2005,Action|Thriller
8903,"Because of Winn-Dixie",2005,Drama
8929,"Bigger Than the Sky",2005,Drama
8935,"Be Cool",2005,Crime
8939,Robots,2005,Adventure
9417,Bandidas,2006,Crime|Action
9419,Annapolis,2006,Drama
9420,"Big Momma's House 2",2006,Crime|Action
9432,"When a Stranger Calls",2006,Thriller
9438,"Eight Below",2006,Action|Adventure|Drama
9441,"Madea's Family Reunion",2006,Drama
9443,Ultraviolet,2006,Action|Thriller
9448,"Half Light",2006,Thriller
9514,"Over the Hedge",2006,Adventure
9739,"Freedom Writers",2007,Drama
9753,"Stomp the Yard",2007,Drama
9775,Waitress,2007,Drama
9779,"Epic Movie",2007,Adventure
9782,"Hannibal Rising",2007,Thriller|Drama
9797,Breach,2007,Thriller|Drama
9807,"Hot Fuzz",2007,Crime|Action
9816,Zodiac,2007,Crime|Thriller|Drama
9818,"Wild Hogs",2007,Adventure
9821,"United 300",2007,Action
10059,"My Mom's New Boyfriend",2008,Action|Thriller
10143,Cloverfield,2008,Action|Thriller
10156,"First Sunday",2008,Crime
10157,Untraceable,2008,Crime|Thriller
10178,Jumper,2008,Thriller|Adventure|Drama
10227,"Smart People",2008,Drama
10234,"Nim's Island",2008,Adventure
10241,"Harold & Kumar Escape from Guantanamo Bay",2008,Adventure
