movieid,userid,imdbid,rating,timestamp
3323,3,206194,4,"2006-11-30 04:19:50"
3467,6,720946,3,"2001-09-21 07:43:03"
4354,6,222736,3,"2001-09-21 07:47:13"
5000,7,536976,1,"2003-04-08 09:50:33"
3216,8,497831,4,"2005-03-23 17:13:11"
3366,8,537673,4,"2005-03-23 17:30:09"
3467,8,720946,4,"2005-05-19 17:25:55"
3906,8,186633,4,"2005-05-19 17:13:21"
4132,8,203877,4,"2005-05-19 17:08:36"
4354,8,222736,4,"2005-03-23 17:14:27"
4999,8,131080,3,"2005-03-23 17:30:34"
5123,8,293844,4,"2005-05-11 17:42:32"
6057,8,563792,3,"2005-03-23 17:28:07"
6058,8,149983,4,"2005-03-23 17:29:21"
7062,8,708670,1,"2005-03-23 17:31:25"
7212,8,592282,4,"2005-03-23 17:28:26"
7235,8,586778,4,"2005-05-11 17:55:36"
7247,8,153516,5,"2005-03-22 19:54:08"
7755,8,265326,4,"2005-05-19 17:07:00"
3216,12,497831,3,"2000-06-01 06:44:07"
3366,12,537673,3,"2000-06-20 12:52:12"
3323,13,206194,3,"2002-10-21 09:32:31"
5123,14,293844,3,"2005-12-02 18:55:10"
7755,14,265326,5,"2005-12-02 18:20:15"
8779,14,118728,5,"2005-12-02 18:26:04"
4252,17,606157,4,"2003-04-07 19:05:15"
3323,18,206194,4,"2005-03-22 19:53:46"
4057,18,263097,4,"2005-03-22 22:06:11"
4252,18,606157,4,"2005-03-23 15:50:49"
5123,18,293844,4,"2005-03-22 22:07:45"
7232,18,30828,1,"2005-03-22 20:08:32"
3854,29,172356,1,"2000-11-15 06:46:03"
3189,34,553579,1,"2001-02-10 09:50:25"
3216,34,497831,4,"2001-02-10 09:48:39"
3323,34,206194,3,"2001-02-10 09:46:57"
3366,34,537673,3,"2001-02-10 09:50:56"
3467,34,720946,2,"2001-02-10 09:48:04"
3467,35,720946,4,"2005-12-03 02:01:09"
4057,36,263097,3,"2003-04-09 20:05:17"
4681,36,83207,2,"2003-04-07 20:48:58"
5324,36,553084,2,"2003-04-08 13:47:49"
5915,36,445892,2,"2003-04-07 19:52:26"
5959,36,222693,3,"2003-04-07 19:52:26"
6058,36,149983,1,"2003-04-07 19:52:26"
3323,38,206194,5,"2006-10-31 14:05:07"
4057,38,263097,5,"2007-01-31 20:33:56"
4132,38,203877,4,"2006-11-06 17:14:17"
4252,38,606157,4,"2007-01-31 20:27:45"
6166,38,751416,3,"2008-04-19 22:43:01"
7755,38,265326,5,"2006-10-29 11:54:03"
8779,38,118728,4,"2006-10-31 14:09:04"
8901,38,135403,4,"2007-01-31 20:44:47"
