userid,movieid,tagid,timestamp
1,33,55,"2007-8-27 18:16:00"
1,33,56,"2008-5-23 18:33:00"
1,34,57,"2006-12-7 22:20:00"
1,34,58,"2006-12-7 22:12:00"
2,35,59,"2013-8-27 18:16:00"
2,35,60,"2008-5-23 18:33:00"
2,36,61,"2006-12-7 22:20:00"
2,36,62,"2006-12-7 22:12:00"
3,37,63,"2005-12-7 22:12:00"
3,37,64,"2005-12-7 22:12:00"
3,38,65,"2005-12-7 22:12:00"
3,38,66,"2005-12-7 22:12:00"
4,39,67,"2005-12-8 22:13:00"
4,39,68,"2005-12-8 22:12:00"
4,40,69,"2005-12-8 22:12:00"
4,40,70,"2005-12-8 22:12:00"
5,41,71,"2007-8-27 18:16:00"
5,41,72,"2008-5-23 18:33:00"
5,42,73,"2006-12-7 22:20:00"
5,42,74,"2006-12-7 22:12:00"
6,43,75,"2006-12-7 22:20:00"
6,43,76,"2006-12-7 22:12:00"
6,44,76,"2007-8-27 18:16:00"
6,44,77,"2008-5-23 18:33:00"
7,44,76,"2007-8-27 18:16:00"
7,44,77,"2007-8-27 18:16:00"
7,45,77,"2007-8-27 18:16:00"
7,45,78,"2007-8-27 18:16:00"
8,45,77,"2013-8-27 18:16:00"
8,45,78,"2013-8-27 18:16:00"
8,46,78,"2013-8-27 18:16:00"
8,46,79,"2013-8-27 18:16:00"
9,46,78,"2013-8-27 18:16:00"
9,46,79,"2007-8-27 18:16:00"
9,47,79,"2007-8-27 18:16:00"
9,47,80,"2007-8-27 18:16:00"
10,47,79,"2000-8-27 18:16:00"
10,47,80,"2007-8-27 18:16:00"
10,48,80,"2007-8-27 18:16:00"
10,48,81,"2007-8-27 18:16:00"
101,1,1,"2007-8-27 18:16:00"
101,1,2,"2008-5-23 18:33:00"
101,2,3,"2006-12-7 22:20:00"
101,2,4,"2006-12-7 22:12:00"
101,3,5,"2013-8-27 18:16:00"
101,3,6,"2008-5-23 18:33:00"
101,4,7,"2006-12-7 22:20:00"
101,4,8,"2006-12-7 22:12:00"
101,5,9,"2005-12-7 22:12:00"
101,5,10,"2005-12-7 22:12:00"
101,6,11,"2005-12-7 22:12:00"
101,6,12,"2005-12-7 22:12:00"
101,7,13,"2005-12-8 22:13:00"
101,7,14,"2005-12-8 22:12:00"
101,8,15,"2005-12-8 22:12:00"
101,8,16,"2005-12-8 22:12:00"
101,9,17,"2007-8-27 18:16:00"
101,9,18,"2008-5-23 18:33:00"
101,10,19,"2006-12-7 22:20:00"
101,10,20,"2006-12-7 22:12:00"
101,11,21,"2007-8-27 18:16:00"
101,11,22,"2008-5-23 18:33:00"
101,12,22,"2006-12-7 22:20:00"
101,12,23,"2006-12-7 22:12:00"
101,13,23,"2007-8-27 18:16:00"
101,13,24,"2008-5-23 18:33:00"
101,14,24,"2007-8-27 18:16:00"
101,14,25,"2008-5-23 18:33:00"
101,15,25,"2007-8-27 18:16:00"
101,15,26,"2008-5-23 18:33:00"
101,16,26,"2007-8-27 18:16:00"
101,16,27,"2008-5-23 18:33:00"
102,17,28,"2007-8-27 18:16:00"
102,17,29,"2008-5-23 18:33:00"
102,18,30,"2006-12-7 22:20:00"
102,18,31,"2006-12-7 22:12:00"
102,19,32,"2013-8-27 18:16:00"
102,19,33,"2008-5-23 18:33:00"
102,20,34,"2006-12-7 22:20:00"
102,20,35,"2006-12-7 22:12:00"
102,21,36,"2005-12-7 22:12:00"
102,21,37,"2005-12-7 22:12:00"
102,22,38,"2005-12-7 22:12:00"
102,22,39,"2005-12-7 22:12:00"
102,23,40,"2005-12-8 22:13:00"
102,23,41,"2005-12-8 22:12:00"
102,24,42,"2005-12-8 22:12:00"
102,24,43,"2005-12-8 22:12:00"
102,25,44,"2007-8-27 18:16:00"
102,25,45,"2008-5-23 18:33:00"
102,26,46,"2006-12-7 22:20:00"
102,26,47,"2006-12-7 22:12:00"
102,27,48,"2007-8-27 18:16:00"
102,27,49,"2008-5-23 18:33:00"
102,28,49,"2006-12-7 22:20:00"
102,28,50,"2006-12-7 22:12:00"
102,29,50,"2007-8-27 18:16:00"
102,29,51,"2007-8-28 18:16:00"
102,30,51,"2007-8-29 18:16:00"
102,30,52,"2007-8-30 18:16:00"
102,31,52,"2007-8-27 18:16:00"
102,31,53,"2008-5-23 18:33:00"
102,32,53,"2007-8-27 18:16:00"
102,32,54,"2008-5-23 18:33:00"
103,49,82,"2008-5-23 18:33:00"
103,49,83,"2008-5-24 18:33:00"
103,49,84,"2008-5-25 18:33:00"
103,49,85,"2008-5-26 18:33:00"
103,50,86,"2008-5-27 18:33:00"
103,50,87,"2008-5-28 18:33:00"
103,50,88,"2008-5-29 18:33:00"
103,50,89,"2008-5-30 18:33:00"
103,51,86,"2008-5-31 18:33:00"
103,51,87,"2008-6-1 18:33:00"
103,51,88,"2008-6-2 18:33:00"
103,51,90,"2008-6-3 18:33:00"
103,51,91,"2008-6-4 18:33:00"
