tagId,tag
19,action
63,animated
64,animation
65,anime
86,atmospheric
97,"bad acting"
111,"based on a tv show"
113,"based on book"
127,"best war films"
155,boring
159,boxing
170,"buddy movie"
180,cannibalism
186,cartoon
193,cgi
230,comedy
232,"comic book"
244,"computer animation"
255,cool
261,court
268,crime
285,dark
300,detective
305,"directorial debut"
309,disney
327,dreamworks
331,drugs
333,"dumb but funny"
350,england
361,espionage
374,family
377,fantasy
397,fish
406,franchise
428,geeks
484,hackers
485,hacking
489,"hannibal lecter"
492,"harry potter"
501,"heroine in tight suit"
509,history
554,interesting
623,magic
632,marvel
672,motorcycle
682,murder
687,musicians
719,"not funny"
727,"nudity (full frontal - notable)"
729,"nudity (rear)"
730,"nudity (topless - brief)"
731,"nudity (topless - notable)"
732,"nudity (topless)"
762,"over the top"
784,pirates
792,pointless
807,predictable
824,psychology
842,"reality tv"
844,redemption
849,remake
874,"san francisco"
887,sci-fi
901,sequel
903,"serial killer"
989,superhero
994,"surprise ending"
1001,swashbuckler
1007,"talking animals"
1022,terrorism
1024,thought-provoking
1028,"time travel"
1075,"video game adaptation"
1096,war
1112,witch
1115,wizards
1121,"world war ii"
1126,wwii
1127,zombie
1128,zombies
2001,"want to own"
2002,"based on a book"
2003,"imdb bottom 100"
2004,"figure skating"
2005,"small town"
2006,"bad ending"
2007,"high fantasy"
2008,"Crappy Remake"
2009,"loved it"
2010,Mexico
2011,"Graphic Novel"
2012,fascistic
2013,gore
2014,dani2007
2015,"girlie movie"
2016,"Tim Burton"
2017,stupid
2018,"Stupid as Hell"
2019,"not as good as other comic films"
2020,"Vin Diesel"
2021,"Richard Cheese"
2022,"Bruce Willis"
2023,"Simon Pegg"
2024,"Gfei own it"
2025,"want it"
2026,yell
2027,self-aware
2028,"Hilarious!! :D"
2029,comic
2030,8
2031,"setting:New Orleans"
2032,"cinematographer:Harris Savides"
2033,"New York City"
2034,"set:mechanical gearworks"
2035,"socially relevant"
2036,ohsoso
2037,"not as disturbing as the novel"
2038,"Robin Williams"
2039,DIVX
2040,DVD
2041,"tragically bad"
2042,"without Martha"
2043,Lisa
2044,mystic&violence
2045,creepy
2046,"own it"
2047,"Jeremy Irons"
2048,"Owen Wilson"
2049,"Greg Kinnear"
2050,"Johnny Depp"
2051,"Robert Downey Jr."
2052,"Drew Goddard"
2053,"Showing off C.G. limitations"
2054,"war movie"
2055,"Based on a cartoon"
2056,"Kevin Smith"
2057,"Robert Downey Jr"
2058,Gladiator
2059,<3
2060,"original is better.."
2061,latest
2062,"Arnold Schwarzenegger"
2063,spoof
2064,writing
2065,"true story"
2066,"roald dahl"
2067,divertente
2068,lesbian
2069,"FIOS on demand"
2070,bmovie
2071,"on dvr"
2072,"library vhs"
2073,"swimming pool"
2074,broomstick
2075,grandparents
2076,train
2077,faun
2078,deformity
2079,"To See"
2080,"Meg Ryan"
2081,nut
2082,"Tobey Maguire"
2083,"Oscar (Best Actress)"
2084,book
2085,rollerderby
2086,premonition
2087,"like madagascar"
2088,"ghetto; slums; teaching; holocaust; hope"
2089,Parody
2090,"based on a true story"
2091,Tedious
2092,"coming of age"
2094,"blair godzilla project"
2095,tim
2096,"must see"
2097,"not children"
2098,Excelente!
2099,telecine
2100,"Tyler Perry"
2101,R
2102,"on computer"
2103,misbegotten
2104,"Anthony Hopkins"
2105,"Jodie Foster"
2106,jonossa
2107,"good war movie"
2108,"best animated movie"
2109,"forest fair"
2110,Futuristmovies.com
2111,ice
2112,"to much of everything"
2113,"Ridley Scott"
2114,"Moto Sakakibara (co-director)"
2115,"Chris Wedge"
2116,"Todd Phillips"
2117,"Zack Snyder"
2119,"clockwork orange cinematography"
2120,"Julia Roberts"
2121,"Jackie Chan"
2122,"literary adaptation"
2123,Drama
2124,children
2125,"Ben Folds"
2126,Bibliothek
2127,scope
2128,investigation
2129,"writers at work"
2130,"Fiona Shaw"
2131,food
2132,"Strong Women"
2133,insanity
2134,"Naval story interests me"
2135,"Too long"
2136,blood
2137,"a very good moive"
2138,"Colin Farrell"
2139,"adult comedy"
2140,"blood and guts"
2141,"afternoon section"
2142,"perfec image of tim burton"
2143,Handycam
2144,"ving rhames"
2145,"Uma Thurman"
2146,"Brett Easton Ellis"
2147,talky
2148,watch
2149,own
2150,"Classical Studies"
2151,Playlist
2152,Holocaust
2153,bittersweet
2154,"Hugh Jackman"
2155,"Tim Allen"
2156,"dance movie"
2157,mamet
2158,thermopylae
2161,"like-i-like top pick"
2162,"Yahoo Top Pick"
2163,"Recommendz Top Pick"
2164,waitress
2165,baa-list2
2166,Katottava
2167,stylized
2168,matter-of-fact
2169,lavish
2170,"more twists than a chubby checker"
2171,"super hero"
2172,"j netflix"
2173,"Milla Jovovich"
2174,"Vinnie Jones"
2175,gratuitous
2176,macabre
2177,"Great Screenplays"
2178,childish
2179,"damn the man"
2180,uninteresting
2181,"seen at the cinema"
2182,toplist07
2183,toyota
2184,Owned
2185,awful
2186,"stopped watching"
2187,"the greater good"
2188,funny
2189,betrayal
2190,"Sandra Bullock"
2191,"going postal"
2192,"less than 300 ratings"
2199,"Absolutely retarded"
2200,"want to see again"
2201,"seen more than once"
