movieid,moviename,year,genres
3189,"Scream 3",2000,Thriller|Comedy
3216,"Pitch Black",2000,Thriller
3233,"Wonder Boys",2000,Drama|Comedy
3323,"Erin Brockovich",2000,Drama
3324,"Final Destination",2000,Thriller|Drama
3366,"Romeo Must Die",2000,Crime|Action|Thriller
3447,"American Psycho",2000,Crime|Thriller|Drama|Comedy
3467,U-571,2000,Action|Thriller
3854,"Digimon: The Movie",2000,Adventure
3906,"Dungeons & Dragons",2000,Adventure
3961,Antitrust,2001,Thriller
4057,Hannibal,2001,Thriller
4064,"Sweet November",2001,Drama
4075,"Series 7: The Contenders",2001,Action|Drama
4076,"15 Minutes",2001,Thriller
4132,"Enemy at the Gates",2001,Drama
4133,"Exit Wounds",2001,Action|Thriller
4152,"Brigham City",2001,Crime|Drama
4252,Swordfish,2001,Crime|Action|Drama
4354,"Final Fantasy: The Spirits Within",2001,Adventure
4681,"Clubhouse Detectives in Big Trouble",2002,Crime|Comedy
4869,"Texas Rangers",2001,Adventure
4999,"Collateral Damage",2002,Action|Thriller
5000,Rollerball,2002,Action
5078,"Full Frontal",2002,Drama|Comedy
5123,"Ice Age",2002,Adventure|Comedy
5161,"Stolen Summer",2002,Drama
5171,"Panic Room",2002,Thriller
5217,"Murder by Numbers",2002,Crime|Thriller
5293,Insomnia,2002,Crime|Action|Thriller|Drama
5324,Scooby-Doo,2002,Adventure|Comedy
5915,"National Security",2003,Action|Comedy
6057,"Shanghai Knights",2003,Action|Adventure|Comedy
6058,Daredevil,2003,Crime|Action
6087,"Gods and Generals",2003,Action|Drama
6097,"Cradle 2 the Grave",2003,Crime|Action|Thriller
6163,Basic,2003,Thriller|Drama
6166,"What a Girl Wants",2003,Drama|Comedy
6185,Levity,2003,Drama
6425,"Sinbad: Legend of the Seven Seas",2003,Adventure|Comedy
6427,"Swimming Pool",2003,Thriller|Drama
7062,Torque,2004,Crime|Action
7202,"Against the Ropes",2004,Drama|Comedy
7212,"Starsky & Hutch",2004,Crime|Action|Comedy
7232,"Agent Cody Banks 2: Destination London",2004,Action|Adventure|Comedy
7235,Spartan,2004,Thriller
7247,"Dawn of the Dead",2004,Action|Thriller|Drama
7249,"Taking Lives",2004,Crime|Thriller|Drama
7320,Godsend,2004,Thriller|Drama
7755,"Harry Potter and the Prisoner of Azkaban",2004,Adventure
8779,"Charlie and the Chocolate Factory",2005,Adventure|Comedy
8860,"Assault on Precinct 13",2005,Crime|Action|Thriller|Drama
8865,Boogeyman,2005,Thriller|Drama
8901,Constantine,2005,Action|Thriller
8902,"Son of the Mask",2005,Action|Adventure|Comedy
8930,"Diary of a Mad Black Woman",2005,Drama|Comedy
8935,"Be Cool",2005,Crime|Comedy
8939,Robots,2005,Adventure|Comedy
8978,"Ice Princess",2005,Drama|Comedy
9417,Bandidas,2006,Crime|Action|Comedy
9419,Annapolis,2006,Drama
9420,"Big Momma's House 2",2006,Crime|Action|Comedy
9432,"When a Stranger Calls",2006,Thriller
9438,"Eight Below",2006,Action|Adventure|Drama
9441,"Madea's Family Reunion",2006,Drama|Comedy
9443,Ultraviolet,2006,Action|Thriller
9480,"Stay Alive",2006,Thriller
9514,"Over the Hedge",2006,Adventure|Comedy
9739,"Freedom Writers",2007,Drama
9753,"Stomp the Yard",2007,Drama
9775,Waitress,2007,Drama|Comedy
9779,"Epic Movie",2007,Adventure|Comedy
9797,Breach,2007,Thriller|Drama
9807,"Hot Fuzz",2007,Crime|Action|Comedy
9816,Zodiac,2007,Crime|Thriller|Drama
9818,"Wild Hogs",2007,Adventure|Comedy
9821,"United 300",2007,Action
9833,"The Premonition",2007,Thriller|Drama
10143,Cloverfield,2008,Action|Thriller
10156,"First Sunday",2008,Crime|Comedy
10157,Untraceable,2008,Crime|Thriller
10165,"Hellboy II: The Golden Army",2008,Action|Adventure|Comedy
10227,"Smart People",2008,Drama|Comedy
10234,"Nim's Island",2008,Adventure|Comedy
10241,"Harold & Kumar Escape from Guantanamo Bay",2008,Adventure|Comedy
